Country_Name	Country_Code	Region	Region_ID	Income_group
American_Samoa	ASM	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Australia	AUS	East_Asia_and_the_Pacific	EAP	High_income:_OECD
Brunei_Darussalam	BRN	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
China	CHN	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Fiji	FJI	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Micronesia_Fed._Sts.	FSM	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Guam	GUM	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Hong_Kong_SAR_China	HKG	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Indonesia	IDN	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Japan	JPN	East_Asia_and_the_Pacific	EAP	High_income:_OECD
Cambodia	KHM	East_Asia_and_the_Pacific	EAP	Low_income
Kiribati	KIR	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Korea_Rep.	KOR	East_Asia_and_the_Pacific	EAP	High_income:_OECD
Lao_PDR	LAO	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Macao_SAR_China	MAC	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Marshall_Islands	MHL	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Myanmar	MMR	East_Asia_and_the_Pacific	EAP	Low_income
Mongolia	MNG	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Northern_Mariana_Islands	MNP	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Malaysia	MYS	East_Asia_and_the_Pacific	EAP	Upper_middle_income
New_Caledonia	NCL	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
New_Zealand	NZL	East_Asia_and_the_Pacific	EAP	High_income:_OECD
Philippines	PHL	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Palau	PLW	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Papua_New_Guinea	PNG	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Korea_Dem._Rep.	PRK	East_Asia_and_the_Pacific	EAP	Low_income
French_Polynesia	PYF	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Singapore	SGP	East_Asia_and_the_Pacific	EAP	High_income:_nonOECD
Solomon_Islands	SLB	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Thailand	THA	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Timor-Leste	TLS	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Tonga	TON	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Tuvalu	TUV	East_Asia_and_the_Pacific	EAP	Upper_middle_income
Vietnam	VNM	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Vanuatu	VUT	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Samoa	WSM	East_Asia_and_the_Pacific	EAP	Lower_middle_income
Albania	ALB	Europe_and_Central_Asia	ECA	Upper_middle_income
Andorra	AND	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Armenia	ARM	Europe_and_Central_Asia	ECA	Lower_middle_income
Austria	AUT	Europe_and_Central_Asia	ECA	High_income:_OECD
Azerbaijan	AZE	Europe_and_Central_Asia	ECA	Upper_middle_income
Belgium	BEL	Europe_and_Central_Asia	ECA	High_income:_OECD
Bulgaria	BGR	Europe_and_Central_Asia	ECA	Upper_middle_income
Bosnia_and_Herzegovina	BIH	Europe_and_Central_Asia	ECA	Upper_middle_income
Belarus	BLR	Europe_and_Central_Asia	ECA	Upper_middle_income
Switzerland	CHE	Europe_and_Central_Asia	ECA	High_income:_OECD
Channel_Islands	CHI	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Cyprus	CYP	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Czech_Republic	CZE	Europe_and_Central_Asia	ECA	High_income:_OECD
Germany	DEU	Europe_and_Central_Asia	ECA	High_income:_OECD
Denmark	DNK	Europe_and_Central_Asia	ECA	High_income:_OECD
Spain	ESP	Europe_and_Central_Asia	ECA	High_income:_OECD
Estonia	EST	Europe_and_Central_Asia	ECA	High_income:_OECD
Finland	FIN	Europe_and_Central_Asia	ECA	High_income:_OECD
France	FRA	Europe_and_Central_Asia	ECA	High_income:_OECD
Faeroe_Islands	FRO	Europe_and_Central_Asia	ECA	High_income:_nonOECD
United_Kingdom	GBR	Europe_and_Central_Asia	ECA	High_income:_OECD
Georgia	GEO	Europe_and_Central_Asia	ECA	Lower_middle_income
Greece	GRC	Europe_and_Central_Asia	ECA	High_income:_OECD
Greenland	GRL	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Croatia	HRV	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Hungary	HUN	Europe_and_Central_Asia	ECA	Upper_middle_income
Isle_of_Man	IMN	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Ireland	IRL	Europe_and_Central_Asia	ECA	High_income:_OECD
Iceland	ISL	Europe_and_Central_Asia	ECA	High_income:_OECD
Italy	ITA	Europe_and_Central_Asia	ECA	High_income:_OECD
Kazakhstan	KAZ	Europe_and_Central_Asia	ECA	Upper_middle_income
Kyrgyz_Republic	KGZ	Europe_and_Central_Asia	ECA	Lower_middle_income
Kosovo	KSV	Europe_and_Central_Asia	ECA	Lower_middle_income
Liechtenstein	LIE	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Lithuania	LTU	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Luxembourg	LUX	Europe_and_Central_Asia	ECA	High_income:_OECD
Latvia	LVA	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Monaco	MCO	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Moldova	MDA	Europe_and_Central_Asia	ECA	Lower_middle_income
Macedonia_FYR	MKD	Europe_and_Central_Asia	ECA	Upper_middle_income
Montenegro	MNE	Europe_and_Central_Asia	ECA	Upper_middle_income
Netherlands	NLD	Europe_and_Central_Asia	ECA	High_income:_OECD
Norway	NOR	Europe_and_Central_Asia	ECA	High_income:_OECD
Poland	POL	Europe_and_Central_Asia	ECA	High_income:_OECD
Portugal	PRT	Europe_and_Central_Asia	ECA	High_income:_OECD
Romania	ROU	Europe_and_Central_Asia	ECA	Upper_middle_income
Russian_Federation	RUS	Europe_and_Central_Asia	ECA	High_income:_nonOECD
San_Marino	SMR	Europe_and_Central_Asia	ECA	High_income:_nonOECD
Serbia	SRB	Europe_and_Central_Asia	ECA	Upper_middle_income
Slovak_Republic	SVK	Europe_and_Central_Asia	ECA	High_income:_OECD
Slovenia	SVN	Europe_and_Central_Asia	ECA	High_income:_OECD
Sweden	SWE	Europe_and_Central_Asia	ECA	High_income:_OECD
Tajikistan	TJK	Europe_and_Central_Asia	ECA	Low_income
Turkmenistan	TKM	Europe_and_Central_Asia	ECA	Upper_middle_income
Turkey	TUR	Europe_and_Central_Asia	ECA	Upper_middle_income
Ukraine	UKR	Europe_and_Central_Asia	ECA	Lower_middle_income
Uzbekistan	UZB	Europe_and_Central_Asia	ECA	Lower_middle_income
Aruba	ABW	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
